asin,price,recorded_at,scraped_at,old_price
B0CQK8TZCF,29.93,2025-02-03 13:16:17.859528,2025-02-03 13:16:17.859528,29.93
B0CQK8TZCF,29.93,2025-02-03 13:16:18.110705,2025-02-03 13:16:18.110705,29.93
B0CQRP7BG1,174.99,2025-02-02 19:48:01.700256,2025-02-02 19:48:01.700256,174.99
B0CRF5VT83,84.46,2025-02-02 19:43:30.039641,2025-02-02 19:43:30.039641,84.46
B0CRF5VT83,84.46,2025-02-02 19:43:37.691716,2025-02-02 19:43:37.691716,84.46
B0CRF5VT83,84.46,2025-02-02 19:46:34.955167,2025-02-02 19:46:34.955167,84.46
B0CRF5VT83,84.46,2025-02-02 19:46:39.232636,2025-02-02 19:46:39.232636,84.46
B0CRRSDZ5R,102.9,2025-02-02 19:43:29.846969,2025-02-02 19:43:29.846969,102.9
B0CRRSDZ5R,102.9,2025-02-02 19:43:37.512505,2025-02-02 19:43:37.512505,102.9
B0CRRSDZ5R,102.9,2025-02-02 19:46:34.864799,2025-02-02 19:46:34.864799,102.9
B0CRRSDZ5R,102.9,2025-02-02 19:46:39.040221,2025-02-02 19:46:39.040221,102.9
B0CSCTZ85W,65.99,2025-02-03 13:16:54.499035,2025-02-03 13:16:54.499035,65.99
B0CSCTZ85W,65.99,2025-02-03 13:16:59.617720,2025-02-03 13:16:59.617720,65.99
B0CSG2JH4Y,109.0,2025-02-02 19:43:26.122492,2025-02-02 19:43:26.122492,109.0
B0CSG2JH4Y,109.0,2025-02-02 19:43:33.379374,2025-02-02 19:43:33.379374,109.0
B0CSG2JH4Y,109.0,2025-02-02 19:46:32.863406,2025-02-02 19:46:32.863406,109.0
B0CSG2JH4Y,109.0,2025-02-02 19:46:37.071772,2025-02-02 19:46:37.071772,109.0
B0CSG93BF7,144.4,2025-02-02 19:43:26.297292,2025-02-02 19:43:26.297292,144.4
B0CSG93BF7,144.4,2025-02-02 19:43:33.673300,2025-02-02 19:43:33.673300,144.4
B0CSG93BF7,144.4,2025-02-02 19:46:32.950525,2025-02-02 19:46:32.950525,144.4
B0CSG93BF7,144.4,2025-02-02 19:46:37.159526,2025-02-02 19:46:37.159526,144.4
B0CSPM7CXK,114.8,2025-02-03 13:16:20.202890,2025-02-03 13:16:20.202890,114.8
B0CSPP5X5G,119.0,2025-02-03 13:16:53.515620,2025-02-03 13:16:53.515620,119.0
B0CSPP5X5G,119.0,2025-02-03 13:16:58.573566,2025-02-03 13:16:58.573566,119.0
B0CSS5W3JP,29.88,2025-02-03 13:16:19.802742,2025-02-03 13:16:19.802742,29.88
B0CSSR9G4R,99.98,2025-02-02 19:43:29.101029,2025-02-02 19:43:29.101029,99.98
B0CSSR9G4R,99.98,2025-02-02 19:43:36.473084,2025-02-02 19:43:36.473084,99.98
B0CSSR9G4R,99.98,2025-02-02 19:46:34.451239,2025-02-02 19:46:34.451239,99.98
B0CSSR9G4R,99.98,2025-02-02 19:46:38.520180,2025-02-02 19:46:38.520180,99.98
B0CSSZXFYK,299.99,2025-02-03 13:17:00.156297,2025-02-03 13:17:00.156297,299.99
B0CST8ZHBC,296.8,2025-02-03 13:16:56.444841,2025-02-03 13:16:56.444841,296.8
B0CST8ZHBC,296.8,2025-02-03 13:17:01.616965,2025-02-03 13:17:01.616965,296.8
B0CT5PP3FX,295.99,2025-02-02 19:47:20.517481,2025-02-02 19:47:20.517481,295.99
B0CT5PP3FX,295.99,2025-02-02 19:47:24.059850,2025-02-02 19:47:24.059850,295.99
B0CT5PP3FX,295.99,2025-02-02 21:14:12.655565,2025-02-02 21:14:12.655565,295.99
B0CT5PP3FX,295.99,2025-02-02 21:14:16.269493,2025-02-02 21:14:16.269493,295.99
B0CT62F6PF,473.99,2025-02-02 21:14:12.915800,2025-02-02 21:14:12.915800,473.99
B0CT62F6PF,473.99,2025-02-02 21:14:16.514148,2025-02-02 21:14:16.514148,473.99
B0CTCCZ2VV,539.0,2025-02-02 19:47:19.270157,2025-02-02 19:47:19.270157,539.0
B0CTCCZ2VV,539.0,2025-02-02 19:47:22.697589,2025-02-02 19:47:22.697589,539.0
B0CTCCZ2VV,539.0,2025-02-02 21:14:11.270496,2025-02-02 21:14:11.270496,539.0
B0CTCCZ2VV,539.0,2025-02-02 21:14:14.824004,2025-02-02 21:14:14.824004,539.0
B0CTCXKSBS,1899.0,2025-02-02 19:47:18.979839,2025-02-02 19:47:18.979839,1899.0
B0CTCXKSBS,1899.0,2025-02-02 19:47:22.400346,2025-02-02 19:47:22.400346,1899.0
B0CTCXKSBS,1899.0,2025-02-02 21:14:10.979487,2025-02-02 21:14:10.979487,1899.0
B0CTCXKSBS,1899.0,2025-02-02 21:14:14.312716,2025-02-02 21:14:14.312716,1899.0
B0CTG3JNMF,149.99,2025-02-02 19:43:35.815265,2025-02-02 19:43:35.815265,149.99
B0CTG3JNMF,149.99,2025-02-02 19:46:33.944701,2025-02-02 19:46:33.944701,149.99
B0CTG3JNMF,149.99,2025-02-02 19:46:38.131438,2025-02-02 19:46:38.131438,149.99
B0CTMQP3RK,349.0,2025-02-03 13:16:56.246083,2025-02-03 13:16:56.246083,349.0
B0CTMQP3RK,349.0,2025-02-03 13:17:01.423081,2025-02-03 13:17:01.423081,349.0
B0CTTTFZ16,361.99,2025-02-02 19:48:00.226564,2025-02-02 19:48:00.226564,361.99
B0CV4DLQGL,699.0,2025-02-02 19:47:18.227173,2025-02-02 19:47:18.227173,699.0
B0CV4DLQGL,699.0,2025-02-02 19:47:19.794420,2025-02-02 19:47:19.794420,699.0
B0CV4DLQGL,699.0,2025-02-02 19:47:21.866453,2025-02-02 19:47:21.866453,699.0
B0CV4DLQGL,699.0,2025-02-02 19:47:23.449579,2025-02-02 19:47:23.449579,699.0
B0CVFYFTWS,244.99,2025-02-02 19:47:59.343325,2025-02-02 19:47:59.343325,244.99
B0CW5ZQ2YX,749.99,2025-02-02 19:47:19.100713,2025-02-02 19:47:19.100713,749.99
B0CW5ZQ2YX,749.99,2025-02-02 19:47:22.528668,2025-02-02 19:47:22.528668,749.99
B0CW5ZQ2YX,749.99,2025-02-02 21:14:11.104987,2025-02-02 21:14:11.104987,749.99
B0CW5ZQ2YX,749.99,2025-02-02 21:14:14.544078,2025-02-02 21:14:14.544078,749.99
B0CW68YK1N,649.99,2025-02-02 19:47:19.355197,2025-02-02 19:47:19.355197,649.99
B0CW68YK1N,649.99,2025-02-02 19:47:22.886993,2025-02-02 19:47:22.886993,649.99
B0CW68YK1N,649.99,2025-02-02 21:14:11.594294,2025-02-02 21:14:11.594294,649.99
B0CW68YK1N,649.99,2025-02-02 21:14:15.037685,2025-02-02 21:14:15.037685,649.99
B0CW6M11F5,117.0,2025-02-02 19:43:29.624928,2025-02-02 19:43:29.624928,117.0
B0CW6M11F5,117.0,2025-02-02 19:43:37.185068,2025-02-02 19:43:37.185068,117.0
B0CW6M11F5,117.0,2025-02-02 19:46:34.664635,2025-02-02 19:46:34.664635,117.0
B0CW6M11F5,117.0,2025-02-02 19:46:38.946190,2025-02-02 19:46:38.946190,117.0
B0CWRT965H,677.18,2025-02-02 19:47:18.348270,2025-02-02 19:47:18.348270,677.18
B0CWRT965H,677.18,2025-02-02 19:47:21.994292,2025-02-02 19:47:21.994292,677.18
B0CWRT965H,677.18,2025-02-02 21:14:10.372869,2025-02-02 21:14:10.372869,677.18
B0CWRT965H,677.18,2025-02-02 21:14:13.691558,2025-02-02 21:14:13.691558,677.18
B0CWV37N2H,126.99,2025-02-02 19:47:59.170973,2025-02-02 19:47:59.170973,126.99
B0CWV37N2H,126.99,2025-02-02 19:48:00.795741,2025-02-02 19:48:00.795741,126.99
B0CX83WP8C,30.99,2025-02-03 13:16:18.043972,2025-02-03 13:16:18.043972,30.99
B0CX9BV1QB,88.06,2025-02-02 19:43:28.412490,2025-02-02 19:43:28.412490,88.06
B0CX9BV1QB,88.06,2025-02-02 19:43:35.923417,2025-02-02 19:43:35.923417,88.06
B0CX9BV1QB,88.06,2025-02-02 19:46:34.078799,2025-02-02 19:46:34.078799,88.06
B0CX9BV1QB,88.06,2025-02-02 19:46:38.265921,2025-02-02 19:46:38.265921,88.06
B0CXF49BXG,349.9,2025-02-02 19:47:59.671769,2025-02-02 19:47:59.671769,349.9
B0CXF49BXG,349.9,2025-02-02 19:48:00.750157,2025-02-02 19:48:00.750157,349.9
B0CXJDKQXR,74.83,2025-02-02 19:43:29.945417,2025-02-02 19:43:29.945417,74.83
B0CXJDKQXR,74.83,2025-02-02 19:43:37.609749,2025-02-02 19:43:37.609749,74.83
B0CXJDKQXR,74.83,2025-02-02 19:46:34.911647,2025-02-02 19:46:34.911647,74.83
B0CXJDKQXR,74.83,2025-02-02 19:46:39.082482,2025-02-02 19:46:39.082482,74.83
B0CXTPKCVM,312.0,2025-02-02 19:48:02.339568,2025-02-02 19:48:02.339568,312.0
B0CXXFNNMM,49.99,2025-02-03 13:16:18.423715,2025-02-03 13:16:18.423715,49.99
B0CXXM23W9,49.99,2025-02-03 13:16:16.968028,2025-02-03 13:16:16.968028,49.99
B0CY2YN2YB,799.0,2025-02-02 19:47:19.753338,2025-02-02 19:47:19.753338,799.0
B0CY2YN2YB,799.0,2025-02-02 19:47:23.292427,2025-02-02 19:47:23.292427,799.0
B0CYBVPW33,29.99,2025-02-03 13:16:20.391422,2025-02-03 13:16:20.391422,29.99
B0CYGN1JX2,179.9,2025-02-02 19:43:28.516283,2025-02-02 19:43:28.516283,179.9
B0CYGN1JX2,179.9,2025-02-02 19:43:36.019552,2025-02-02 19:43:36.019552,179.9
B0CYGN1JX2,179.9,2025-02-02 19:46:34.226320,2025-02-02 19:46:34.226320,179.9
B0CYGN1JX2,179.9,2025-02-02 19:46:38.307898,2025-02-02 19:46:38.307898,179.9
B0CYNXGQCY,59.99,2025-02-03 13:16:53.585701,2025-02-03 13:16:53.585701,59.99
B0CYNXGQCY,59.99,2025-02-03 13:16:58.646773,2025-02-03 13:16:58.646773,59.99
B0CYQ8P5L8,2299.0,2025-02-02 19:47:18.940475,2025-02-02 19:47:18.940475,2299.0
B0CYQ8P5L8,2299.0,2025-02-02 19:47:22.359669,2025-02-02 19:47:22.359669,2299.0
B0CYQ8P5L8,2299.0,2025-02-02 21:14:09.858026,2025-02-02 21:14:09.858026,2299.0
B0CYQ8P5L8,2299.0,2025-02-02 21:14:13.283362,2025-02-02 21:14:13.283362,2299.0
B0CYZQ6JYB,304.0,2025-02-02 19:48:01.170303,2025-02-02 19:48:01.170303,304.0
B0CZ3JN257,89.98,2025-02-03 13:16:54.093541,2025-02-03 13:16:54.093541,89.98
